User,Case,Environment,Meeting Format,Anchor
1,1,0,0,0
1,2,0,1,0
1,3,1,0,0
1,4,1,1,0
2,1,0,0,1
2,2,0,1,1
2,3,1,0,0
2,4,1,1,0
3,1,0,0,1
3,2,0,1,1
3,3,1,0,0
3,4,1,1,0
4,1,0,0,1
4,2,0,1,1
4,3,1,0,0
4,4,1,1,0
5,1,0,0,1
5,2,0,1,0
5,3,1,0,1
5,4,1,1,0
6,1,0,0,1
6,2,0,1,1
6,3,1,0,1
6,4,1,1,1
7,1,0,0,0
7,2,0,1,0
7,3,1,0,0
7,4,1,1,0
8,1,0,0,0
8,2,0,1,0
8,3,1,0,0
8,4,1,1,0
9,1,0,0,0
9,2,0,1,0
9,3,1,0,0
9,4,1,1,0
10,1,0,0,0
10,2,0,1,1
10,3,1,0,0
10,4,1,1,1
11,1,0,0,0
11,2,0,1,0
11,3,1,0,0
11,4,1,1,0
12,1,0,0,1
12,2,0,1,1
12,3,1,0,0
12,4,1,1,1
13,1,0,0,0
13,2,0,1,0
13,3,1,0,0
13,4,1,1,0
14,1,0,0,0
14,2,0,1,1
14,3,1,0,0
14,4,1,1,0
15,1,0,0,0
15,2,0,1,1
15,3,1,0,0
15,4,1,1,0
16,1,0,0,1
16,2,0,1,0
16,3,1,0,1
16,4,1,1,1
